,ra_target,dec_target,events_in_target,expected_events_in_target,lambda,poisson_p_value,lambda_p_value,poisson_penalized_pvalue,lambda_penalized_pvalue
0,243.68866113133882,21.654820915558595,7,4.339518193055789,11.604968372647825,0.11145687665985626,0.0316291759909022,0.9059042079712541,0.47418384796084745
1,310.5310904386217,5.840325185369501,9,7.043099851868165,13.983840952939607,0.22522319508654332,0.04986290226729706,0.993925196860734,0.6404779713640413
2,220.75945798897618,3.664290004233654,11,7.399878151525068,10.023453125448189,0.10141579329845118,0.1402182269860628,0.8821917715269869,0.9512735602184162
3,183.6214907154572,-2.0255782637990443,12,8.305435349245874,16.36023141406252,0.10742727823171527,0.03366597477564548,0.8969917043286717,0.4958666460067439
4,252.01175426680638,-2.1392431037035027,11,8.323079798865333,6.4150425891455445,0.1770339712070934,0.35689430029118496,0.9796933554524403,0.9998535642306767
5,297.9863982901483,-3.50842565582767,12,8.534139708636468,16.004938896113842,0.1236294910352056,0.043836857007705565,0.9285906481940052,0.5920189600995053
6,203.6003712695778,-3.6057675187213163,12,8.549039223869086,10.712819401426213,0.12473052198580947,0.1601938151086617,0.9303637005177681,0.9695504152124363
7,32.17533564439059,-17.20085834527138,13,10.474997425801568,6.862515454706309,0.214015899407886,0.41679951746559085,0.9919039120267638,0.9999792815389699
8,204.6694648042417,-17.839842056528312,16,10.557308848497623,14.85650813462698,0.05607601782896399,0.09261077081455416,0.6846880676794025,0.8568232840710543
9,144.1161424646023,-24.40701586635849,12,11.35754413659132,6.306955867838704,0.40716196163720586,0.4823932099000453,0.9999712444796105,0.9999980945423633
10,215.92523588435432,-25.925809652587947,15,11.530683191493953,10.800288303462692,0.1554597870646106,0.2419791396966967,0.9659272906825661,0.9960769562929582
11,181.56156393674996,-27.70793769189979,15,11.728175721929892,9.378272675510248,0.17027031990367125,0.31073839655801094,0.976081578847218,0.9994142912389768
12,127.31229936569555,-39.52930837098552,22,12.895600569259845,23.019013245461036,0.009974220797891009,0.019659451352905588,0.1816669976555052,0.3277368220235093
13,61.81411420344158,-39.91265767115478,12,12.929921683715138,3.5536972349473444,0.5844278636774739,0.7186258444589864,0.999999976399108,0.9999999999903243
14,119.9073920343629,-41.751950889681474,14,13.09238997558007,12.648354306792234,0.38572221527010686,0.2102908887024144,0.9999414810953996,0.9911009637757126
15,73.13325803488779,-49.03124405838774,15,13.718197240200546,12.76435613033198,0.3513968822913336,0.22387174394408837,0.9998263876409953,0.9937097211731956
16,110.71275533522903,-57.47064342753307,10,14.547018323587373,2.430596196181388,0.8859401356941031,0.8383975422391277,1.0,0.9999999999999999
17,107.1883472221376,-58.51208462900496,12,14.678166647637687,2.1853662917488075,0.7489315446923399,0.8503635078100849,0.9999999999990096,1.0
18,220.02136699446206,-59.57282091399601,17,14.82538237059832,23.100149091029742,0.27786618140923025,0.03436433743462186,0.9985128537427799,0.503103506108015
19,295.5336152398974,-77.83502146428803,17,17.6761672776067,5.97891962809385,0.5483122938035985,0.7268847778139644,0.9999998750416143,0.9999999999946677
