,ra_target,dec_target,events_in_target,expected_events_in_target,lambda,poisson_p_value,lambda_p_value,poisson_penalized_pvalue,lambda_penalized_pvalue
0,243.68866113133882,21.654820915558595,6,4.339518193055789,5.55969287849166,0.20944069180598146,0.21222087365538989,0.9909073781439326,0.9915259819660839
1,310.5310904386217,5.840325185369501,8,7.043099851868165,6.393229078265888,0.342126454813764,0.3183155058269055,0.9997694057611805,0.9995304646333774
2,220.75945798897618,3.664290004233654,12,7.399878151525068,18.815412023229296,0.056315844503352475,0.012044664563495733,0.6862864583689798,0.21522308482969765
3,183.6214907154572,-2.0255782637990443,13,8.305435349245874,29.180339348413483,0.0618735231546228,0.000642648608711105,0.7212416626469336,0.012774804444801946
4,252.01175426680638,-2.1392431037035027,10,8.323079798865333,5.387556372636028,0.27080390077807204,0.42981186191021803,0.9981932971265018,0.9999868063923656
5,297.9863982901483,-3.50842565582767,11,8.534139708636468,14.96486599514003,0.1973412882243203,0.05755564024801085,0.9876797796684506,0.694427411481739
6,203.6003712695778,-3.6057675187213163,11,8.549039223869086,5.45496135390644,0.19881281346644808,0.449420663978109,0.9881237344634771,0.9999934476339079
7,32.17533564439059,-17.20085834527138,15,10.474997425801568,31.457479121816256,0.08890063220409805,0.0008481804061792886,0.8446486950433952,0.016827613338565417
8,204.6694648042417,-17.839842056528312,17,10.557308848497623,23.99165420540699,0.032087194561683186,0.009006305462641362,0.47913555623012893,0.16551636614639142
9,144.1161424646023,-24.40701586635849,12,11.35754413659132,6.306955867838704,0.40716196163720586,0.4823932099000453,0.9999712444796105,0.9999980945423633
10,215.92523588435432,-25.925809652587947,14,11.530683191493953,10.541972796162407,0.22865409410487714,0.25352133813971556,0.9944411676681766,0.9971136568761094
11,181.56156393674996,-27.70793769189979,14,11.728175721929892,8.604826382078398,0.24703902459766203,0.3531252232502389,0.9965687737019508,0.999835409658983
12,127.31229936569555,-39.52930837098552,23,12.895600569259845,30.85272008506685,0.005288857920590639,0.002303824461562076,0.10062739903285278,0.045081848072744846
13,61.81411420344158,-39.91265767115478,15,12.929921683715138,21.40494381567346,0.27398037878456116,0.02941272909710113,0.9983443552369549,0.4495830160145583
14,119.9073920343629,-41.751950889681474,14,13.09238997558007,13.635227461287148,0.38572221527010686,0.1754684983382907,0.9999414810953996,0.9789066744773933
15,73.13325803488779,-49.03124405838774,14,13.718197240200546,7.596495414200049,0.45256619602432424,0.48959284615582455,0.9999941570491817,0.9999985600909671
16,110.71275533522903,-57.47064342753307,13,14.547018323587373,22.19988202840773,0.642703502958079,0.04209968277376963,0.9999999988503248,0.5769357365809463
17,107.1883472221376,-58.51208462900496,13,14.678166647637687,9.037842894732877,0.6551230865651503,0.4488722169236101,0.9999999994333924,0.9999933158513656
18,220.02136699446206,-59.57282091399601,17,14.82538237059832,26.616526476510025,0.27786618140923025,0.015040592506367467,0.9985128537427799,0.2614725343058901
19,295.5336152398974,-77.83502146428803,19,17.6761672776067,22.25186725565604,0.3640650481054186,0.078567253621737,0.9998829816684306,0.8053417352131281
